VIITORUL C.|SALZBURG|-|-
HERTHA|STUTTGART|1,80|1,90
B.M'GLADBACH|KOLN|1.90|1.90
A.PETROLERA|DEP.PASTO|1.60|2.20
ULL/KISA|START|2.30|1.55
BODO/GLIMT|STROMMEN|2.60|1.45
NACIONAL|JUVENTUD|2.05|1.60
ORIENTE P.|NACIONAL P.|2.35|1.50
PATRONATO|ATL.TUCUMAN|1.60|2.20
VASCO|ATLETICO GO|1.85|1.85
ATLETICO-PR|VITORIA|1.70|2.00
ATL. RAFAELA|SARMIENTO J.|1.90|1.85
CHAPECOENSE|ATLETICO-MG|1.95|1.75
SHEFF.WED|SUNDERLAND|1.65|2.12
URAWA|FC-TOKYO|2.15|1.65
OITA|TOKYO-V|1.70|2.05
TEAM TG FF|VASALUNDS|1.95|1.70
ASSYRISKA FF|IFK LULEA|2.20|1.55
UTSIKTENS|ASSYRISKA BK|2.90|1.32